SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,f1,f2,g
0.1,0.024,0.77,340,63,147,183,255,292,151,3.12E-06,4.00E-06,0.241,0.208,0.033
0.36,0.016,0.9,760,4,179,66,163,293,97,2.82E-06,2.00E-06,0.561,0.2,0.361
0.14,0.067,0.83,353,74,154,75,141,297,85,2.32E-05,1.60E-05,0.551,0.247,0.304
0.21,0.078,0.75,760,54,150,192,205,230,96,1.67E-05,1.50E-05,0.201,0.183,0.018
0.16,0.069,0.72,470,57,206,148,111,271,61,2.13E-05,1.40E-05,0.282,0.277,0.005
0.29,0.033,0.99,399,95,202,54,250,296,150,5.22E-06,9.00E-06,0.775,0.178,0.597
0.31,0.022,0.75,73,89,185,96,131,239,64,1.47E-06,3.00E-06,0.223,0.332,-0.109
0.39,0.067,0.85,467,87,170,66,120,297,73,2.25E-05,1.30E-05,0.508,0.291,0.217
0.33,0.031,0.95,593,86,212,81,133,273,75,8.82E-06,6.00E-06,0.442,0.287,0.155
0.38,0.058,0.78,83,6,149,125,247,222,113,6.00E-06,2.00E-05,0.073,0.197,-0.124
0.13,0.012,0.81,69,71,168,65,243,212,106,5.92E-06,8.00E-06,0.359,0.139,0.22
0.36,0.023,0.77,921,86,224,142,187,264,102,6.36E-06,6.00E-06,0.246,0.256,-0.01
0.11,0.086,0.94,532,61,212,158,253,239,126,2.11E-05,1.20E-05,0.336,0.088,0.248
0.32,0.06,0.9,555,38,156,198,185,215,83,2.02E-05,1.70E-05,0.157,0.195,-0.038
0.1,0.07,0.8,802,5,133,184,229,226,108,3.19E-06,1.10E-05,0.103,0.205,-0.102
0.37,0.019,0.72,977,32,143,47,139,237,69,6.60E-06,6.00E-06,0.719,0.265,0.454
0.37,0.026,0.97,422,92,221,87,179,240,90,1.08E-06,2.00E-06,0.332,0.27,0.062
0.13,0.099,0.88,730,44,159,129,111,205,48,3.30E-05,1.70E-05,0.31,0.174,0.136
0.34,0.046,0.84,988,90,122,48,148,266,82,2.18E-05,1.40E-05,0.689,0.251,0.438
0.34,0.05,0.89,323,69,186,107,147,272,84,3.06E-05,1.90E-05,0.338,0.257,0.081
0.15,0.019,0.81,135,44,137,93,284,258,154,6.72E-06,1.60E-05,0.307,0.184,0.123
0.39,0.081,0.97,583,7,170,68,262,239,131,1.40E-05,1.30E-05,0.461,0.12,0.341
0.28,0.029,0.91,346,50,130,64,254,247,133,1.29E-06,3.00E-06,0.623,0.193,0.43
0.17,0.042,0.79,620,82,176,80,260,260,143,3.52E-06,8.00E-06,0.562,0.2,0.362
0.37,0.055,0.72,635,84,142,77,280,286,170,5.28E-06,1.20E-05,0.581,0.198,0.383
0.11,0.074,0.9,398,64,137,178,179,296,113,6.60E-06,6.00E-06,0.288,0.228,0.06
0.31,0.039,0.93,549,19,180,146,244,258,134,2.30E-05,1.40E-05,0.267,0.121,0.146
0.23,0.043,0.97,465,31,220,48,130,250,69,2.97E-05,1.70E-05,0.62,0.228,0.392
0.37,0.084,0.97,178,75,138,152,147,210,66,1.06E-05,1.00E-05,0.185,0.256,-0.071
0.21,0.098,0.73,776,60,203,190,167,208,74,6.80E-06,1.70E-05,0.078,0.301,-0.223
0.28,0.071,0.85,50,68,164,26,128,207,57,1.33E-05,1.30E-05,0.559,0.139,0.42
0.12,0.063,0.81,78,3,162,187,268,209,120,1.89E-05,1.00E-05,0.289,0.042,0.247
0.38,0.095,0.71,77,34,181,30,203,294,129,2.02E-06,2.00E-06,0.764,0.124,0.64
0.25,0.026,0.71,151,93,211,55,118,210,53,9.18E-06,9.00E-06,0.447,0.237,0.21
0.4,0.091,0.85,950,89,162,67,206,209,93,5.25E-06,1.50E-05,0.464,0.227,0.237
0.2,0.035,0.92,714,53,127,66,226,273,134,5.88E-06,4.00E-06,0.616,0.18,0.436
0.29,0.05,0.99,487,84,139,65,113,243,60,1.50E-06,6.00E-06,0.807,0.369,0.438
0.18,0.066,0.95,124,70,194,123,185,208,84,9.36E-06,8.00E-06,0.273,0.173,0.1
0.31,0.04,0.72,220,52,224,92,126,285,78,2.33E-05,1.30E-05,0.391,0.25,0.141
0.19,0.089,0.85,394,18,158,139,261,297,169,6.12E-06,9.00E-06,0.336,0.183,0.153
0.27,0.045,0.87,808,69,141,131,271,271,161,1.76E-05,9.00E-06,0.364,0.116,0.248
0.38,0.03,0.81,195,48,155,67,106,256,59,9.75E-06,5.00E-06,0.44,0.288,0.152
0.12,0.059,1,803,33,202,103,244,224,120,3.11E-05,1.70E-05,0.424,0.095,0.329
0.27,0.081,0.79,228,78,128,111,183,236,95,1.42E-05,1.60E-05,0.289,0.232,0.057
0.39,0.088,0.84,329,69,168,106,130,295,85,1.38E-05,8.00E-06,0.364,0.269,0.095
0.16,0.02,0.86,69,98,146,40,259,281,161,1.83E-05,1.30E-05,0.579,0.103,0.476
0.3,0.029,0.74,545,50,157,123,163,271,98,1.62E-05,1.00E-05,0.329,0.229,0.1
0.36,0.053,0.84,277,21,142,187,228,200,101,1.87E-05,1.60E-05,0.133,0.145,-0.012
0.16,0.041,0.83,780,13,183,165,262,293,170,1.65E-05,1.70E-05,0.274,0.137,0.137
0.35,0.063,0.82,137,55,192,159,285,236,149,1.27E-05,1.20E-05,0.185,0.166,0.019
0.24,0.087,0.78,333,93,136,60,262,220,128,2.40E-06,6.00E-06,0.525,0.162,0.363
0.18,0.092,0.9,478,57,130,75,246,216,118,1.65E-05,1.00E-05,0.508,0.115,0.393
0.21,0.029,0.73,425,28,212,153,204,257,169,1.76E-05,1.60E-05,0.24,0.141,0.099
0.18,0.032,0.86,643,96,134,35,259,201,162,1.18E-05,1.90E-05,0.621,0.124,0.497
0.17,0.029,0.97,387,34,194,77,146,211,195,1.38E-06,3.00E-06,0.537,0.23,0.307
0.15,0.049,0.82,576,64,156,150,230,249,151,2.16E-05,1.30E-05,0.279,0.142,0.137
0.3,0.048,0.78,296,27,186,170,197,275,192,1.25E-05,7.00E-06,0.236,0.198,0.038
0.19,0.062,0.98,929,10,206,65,280,260,162,5.72E-06,1.30E-05,0.627,0.175,0.452
0.2,0.046,0.95,871,62,212,58,219,258,168,1.11E-05,1.50E-05,0.574,0.172,0.402
0.36,0.022,0.7,332,30,219,166,211,213,170,9.24E-06,1.40E-05,0.153,0.159,-0.006
