SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD,f1,f2,g
0.11,0.019,0.81,605,28,160,191,177,368,176,6.81E-06,3.00E-06,25,0.633,0.324,0.309
0.13,0.014,0.95,945,30,118,68,114,208,194,3.85E-06,7.00E-06,11,0.625,0.268,0.357
0.19,0.042,0.93,977,79,115,190,165,379,191,3.30E-06,6.00E-06,19,0.623,0.327,0.296
0.34,0.08,0.83,128,3,192,67,180,282,159,2.70E-05,1.00E-05,27,0.62,0.242,0.378
0.39,0.038,0.94,755,46,219,58,163,258,188,1.92E-05,9.00E-06,15,0.62,0.268,0.352
0.31,0.09,0.81,860,78,122,198,149,389,177,6.06E-06,6.00E-06,16,0.612,0.249,0.363
0.13,0.021,0.82,458,61,127,64,104,233,171,8.25E-06,5.00E-06,26,0.607,0.269,0.338
0.26,0.064,0.98,859,88,118,161,161,383,194,5.50E-06,2.00E-06,14,0.593,0.253,0.34
0.13,0.086,0.98,865,62,181,151,137,370,178,3.66E-06,6.00E-06,20,0.589,0.271,0.318
0.17,0.089,0.94,756,96,192,172,168,395,191,3.72E-06,3.00E-06,16,0.583,0.241,0.342
0.29,0.078,0.84,485,55,152,99,173,304,197,2.05E-05,7.00E-06,28,0.574,0.209,0.365
0.24,0.084,0.95,489,31,197,74,165,339,177,1.51E-05,6.00E-06,17,0.549,0.244,0.305
0.21,0.093,0.89,151,92,157,81,198,366,189,1.98E-05,7.00E-06,15,0.539,0.292,0.247
0.29,0.032,0.81,710,98,118,53,166,328,185,1.64E-05,6.00E-06,28,0.533,0.223,0.31
0.4,0.019,0.84,728,96,223,98,196,211,169,2.64E-06,4.00E-06,26,0.531,0.199,0.332
0.15,0.03,0.85,531,56,154,97,195,331,190,1.59E-05,9.00E-06,28,0.531,0.217,0.314
0.12,0.086,0.89,756,71,133,50,144,281,197,1.83E-05,7.00E-06,19,0.529,0.199,0.33
0.16,0.037,0.9,994,61,139,90,193,270,176,1.42E-05,5.00E-06,21,0.514,0.23,0.284
0.1,0.078,1,11,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.51,0.246,0.264
0.25,0.099,0.97,421,14,197,60,183,232,161,8.48E-06,8.00E-06,29,0.509,0.197,0.312
0.25,0.021,0.9,686,61,118,85,183,223,161,7.91E-06,7.00E-06,23,0.502,0.332,0.17
0.23,0.09,0.98,796,12,198,80,168,391,177,1.26E-05,8.00E-06,19,0.499,0.252,0.247
0.29,0.081,0.99,344,45,201,98,188,243,158,3.82E-06,2.00E-06,16,0.498,0.252,0.246
0.3,0.053,0.98,807,21,165,59,184,230,188,6.40E-06,5.00E-06,21,0.488,0.366,0.122
0.36,0.063,0.88,288,96,163,67,183,229,177,3.16E-06,2.00E-06,25,0.488,0.273,0.215
0.1,0.065,0.87,288,13,215,90,105,248,177,1.89E-06,3.00E-06,22,0.484,0.253,0.231
0.4,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.484,0.339,0.145
0.1,0.078,1,50,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.483,0.312,0.171
0.35,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.48,0.241,0.239
0.2,0.019,0.98,15,60,131,87,185,256,161,6.30E-07,1.00E-06,27,0.467,0.297,0.17
0.1,0.01,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.464,0.287,0.177
