SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,FP,f1,f2,g
0.4,0.082,0.85,994,47,200,170,115,552,390,1.26E-05,5.00E-06,0.5,0.26,0.418,-0.158
0.19,0.071,0.88,215,98,222,104,192,425,216,3.51E-06,3.00E-06,0,0.351,0.418,-0.067
0.22,0.089,0.96,506,62,238,58,248,678,334,3.10E-06,2.00E-06,0.5,0.633,0.418,0.215
0.11,0.018,0.91,522,48,376,83,180,627,216,1.86E-05,8.00E-06,0,0.448,0.418,0.03
0.4,0.061,0.91,841,94,196,173,163,413,356,4.20E-06,2.00E-06,1,0.292,0.417,-0.125
0.34,0.017,0.91,217,94,381,154,139,524,360,1.51E-05,9.00E-06,0,0.338,0.417,-0.079
0.16,0.052,0.84,539,89,213,190,161,553,210,7.55E-06,5.00E-06,0,0.307,0.417,-0.11
0.11,0.044,0.93,286,70,163,53,201,570,372,3.32E-06,2.00E-06,0,0.538,0.417,0.121
0.38,0.04,0.96,508,63,423,111,157,451,368,5.74E-06,7.00E-06,0,0.349,0.417,-0.068
0.14,0.027,0.95,526,84,410,162,162,513,286,5.16E-06,4.00E-06,0,0.308,0.417,-0.109
0.36,0.094,0.91,159,17,437,93,115,676,266,1.17E-05,8.00E-06,1,0.415,0.416,-0.001
0.34,0.095,0.98,92,94,431,194,238,462,330,6.85E-06,5.00E-06,0,0.329,0.416,-0.087
0.39,0.024,0.85,717,69,321,124,230,547,238,7.08E-06,4.00E-06,0.5,0.331,0.416,-0.085
0.36,0.071,0.96,191,36,430,144,181,625,230,1.65E-05,7.00E-06,0,0.392,0.416,-0.024
0.16,0.083,0.96,905,66,191,193,230,586,236,5.53E-06,7.00E-06,1,0.369,0.416,-0.047
0.39,0.047,0.97,180,99,449,198,181,527,276,7.28E-06,8.00E-06,0.5,0.32,0.416,-0.096
0.38,0.072,0.93,323,72,198,190,211,374,284,2.24E-06,4.00E-06,1,0.294,0.415,-0.121
0.11,0.028,0.87,892,54,421,180,220,697,260,1.36E-05,7.00E-06,0.5,0.396,0.415,-0.019
0.4,0.049,0.93,934,84,195,141,202,437,362,6.93E-06,3.00E-06,1,0.309,0.415,-0.106
0.21,0.048,0.89,88,92,446,144,113,544,218,1.85E-05,1.00E-05,0.5,0.338,0.415,-0.077
0.21,0.045,0.93,85,80,237,88,182,395,346,6.16E-06,7.00E-06,0.5,0.346,0.415,-0.069
0.15,0.069,0.83,893,94,353,119,129,512,240,1.44E-05,8.00E-06,0,0.367,0.415,-0.048
0.28,0.031,0.93,788,78,375,180,209,520,376,7.40E-06,1.00E-05,0.5,0.359,0.414,-0.055
0.33,0.084,0.94,755,76,447,182,195,511,282,5.92E-06,4.00E-06,0.5,0.31,0.414,-0.104
0.16,0.097,0.85,147,25,423,100,223,663,220,3.92E-06,7.00E-06,0,0.443,0.414,0.029
